Freq	S11	S11ang	S21	S21ang	S12	S12ang	S22	S22ang				
5946700000	-2.27E+01	1.38E+02	2.76E+01	-7.85E+01	-3.92E+01	1.58E+02	2.23E+01	5.37E+01				
6036650000	-2.07E+01	1.39E+02	2.75E+01	-1.04E+02	-4.80E+01	1.58E+02	2.05E+01	5.50E+01				
6126600000	-2.00E+01	1.29E+02	2.77E+01	-1.32E+02	-4.67E+01	5.79E+01	1.92E+01	5.10E+01				
6216550000	-2.02E+01	1.40E+02	2.77E+01	-1.58E+02	-4.33E+01	1.42E+02	2.03E+01	5.29E+01				
6306500000	-1.94E+01	1.36E+02	2.77E+01	1.74E+02	-5.39E+01	-1.12E+02	2.06E+01	6.14E+01				
6396450000	-1.89E+01	1.40E+02	2.80E+01	1.48E+02	-3.87E+01	4.85E+01	1.98E+01	5.94E+01				
6486400000	-1.87E+01	1.25E+02	2.80E+01	1.21E+02	-3.65E+01	5.82E+01	1.91E+01	5.14E+01				
6576350000	-1.85E+01	1.39E+02	2.79E+01	9.42E+01	-5.36E+01	-1.54E+02	2.09E+01	6.58E+01				
6666300000	-1.72E+01	1.36E+02	2.80E+01	6.82E+01	-4.69E+01	1.12E+01	1.70E+01	5.93E+01				
6756250000	-1.71E+01	1.32E+02	2.81E+01	4.06E+01	-3.57E+01	-1.28E+02	1.96E+01	5.94E+01				
6846200000	-1.69E+01	1.28E+02	2.79E+01	1.22E+01	-4.27E+01	-5.17E+01	1.50E+01	5.37E+01				
6936150000	-1.54E+01	1.28E+02	2.80E+01	-1.57E+01	-5.23E+01	3.63E+01	1.78E+01	4.78E+01				
7026100000	-1.48E+01	1.22E+02	2.77E+01	-4.36E+01	-3.85E+01	1.39E+02	1.43E+01	5.91E+01				
7116050000	-1.57E+01	1.17E+02	2.79E+01	-6.91E+01	-4.23E+01	3.74E+01	1.36E+01	4.46E+01				
7206000000	-1.48E+01	1.14E+02	2.78E+01	-9.81E+01	-4.44E+01	-3.64E+01	9.47E+00	8.34E+01				
7295950000	-1.45E+01	1.16E+02	2.77E+01	-1.23E+02	-4.11E+01	1.07E+02	4.82E+00	2.26E+01				
7385900000	-1.32E+01	1.12E+02	2.78E+01	-1.53E+02	-4.75E+01	-1.05E+02	1.12E+01	1.44E+02				
7475850000	-1.34E+01	1.07E+02	2.78E+01	-1.79E+02	-4.53E+01	-1.22E+02	9.79E+00	-1.37E+02				
7565800000	-1.28E+01	1.03E+02	2.78E+01	1.52E+02	-4.99E+01	-4.98E+01	1.51E+01	-1.71E+02				
7655750000	-1.28E+01	9.79E+01	2.78E+01	1.27E+02	-4.08E+01	-1.32E+02	1.77E+01	-1.51E+02				
7745700000	-1.26E+01	9.57E+01	2.76E+01	9.85E+01	-4.26E+01	1.74E+02	2.13E+01	-1.63E+02				
7835650000	-1.20E+01	9.18E+01	2.76E+01	7.17E+01	-3.38E+01	-2.32E+01	2.23E+01	-1.55E+02				
7925600000	-1.14E+01	8.87E+01	2.76E+01	4.40E+01	-3.56E+01	1.35E+02	2.45E+01	-1.71E+02				
8015550000	-1.15E+01	8.30E+01	2.74E+01	1.63E+01	-4.17E+01	-3.69E+01	2.62E+01	-1.64E+02				
8105500000	-1.11E+01	8.29E+01	2.73E+01	-1.06E+01	-4.78E+01	8.52E+01	2.72E+01	-1.77E+02				
8195450000	-1.08E+01	7.75E+01	2.72E+01	-3.80E+01	-4.06E+01	6.48E+01	2.90E+01	-1.75E+02				
8285400000	-1.05E+01	7.26E+01	2.72E+01	-6.55E+01	-5.41E+01	-3.51E+01	2.92E+01	1.77E+02				
8375350000	-1.08E+01	6.89E+01	2.71E+01	-9.26E+01	-4.57E+01	-3.47E+01	3.11E+01	1.76E+02				
8465300000	-9.82E+00	6.62E+01	2.69E+01	-1.19E+02	-4.54E+01	3.84E+01	3.06E+01	1.69E+02				
8555250000	-1.02E+01	6.20E+01	2.68E+01	-1.48E+02	-3.95E+01	-1.03E+02	3.24E+01	1.66E+02				
8645200000	-9.63E+00	5.82E+01	2.68E+01	-1.75E+02	-4.42E+01	-1.03E+02	3.19E+01	1.63E+02				
8735150000	-1.00E+01	5.08E+01	2.65E+01	1.58E+02	-4.59E+01	-1.24E+02	3.32E+01	1.56E+02				
8825100000	-9.53E+00	4.92E+01	2.67E+01	1.31E+02	-4.56E+01	-1.42E+02	3.32E+01	1.55E+02				
8915050000	-9.49E+00	4.18E+01	2.64E+01	1.02E+02	-4.99E+01	-5.35E+01	3.41E+01	1.48E+02				
9005000000	-9.35E+00	4.03E+01	2.64E+01	7.31E+01	-3.79E+01	-3.83E+01	3.39E+01	1.49E+02				
9094950000	-9.19E+00	3.83E+01	2.62E+01	4.53E+01	-3.85E+01	-9.91E+01	3.45E+01	1.41E+02				
9184900000	-9.06E+00	3.06E+01	2.59E+01	1.71E+01	-5.49E+01	3.22E+01	3.44E+01	1.42E+02				
9274850000	-8.88E+00	2.90E+01	2.56E+01	-1.08E+01	-4.78E+01	-1.75E+02	3.47E+01	1.32E+02				
9364800000	-8.79E+00	2.27E+01	2.55E+01	-3.82E+01	-5.88E+01	-4.46E+00	3.47E+01	1.35E+02				
9454750000	-8.57E+00	1.92E+01	2.49E+01	-6.53E+01	-4.12E+01	-1.43E+02	3.47E+01	1.26E+02				
9544700000	-8.37E+00	1.19E+01	2.48E+01	-9.18E+01	-4.26E+01	-7.43E+01	3.49E+01	1.28E+02				
9634650000	-8.33E+00	8.59E+00	2.40E+01	-1.19E+02	-4.23E+01	1.03E+02	3.45E+01	1.21E+02				
